n - output - var - error - time
10 - 0.3644917790466107 - 0.5359430360608594 - 0.17172606808783414 - 3.1628999749955256e-05
10 - 0.360431163218158 - 0.15142353763892635 - 0.16766545225938145 - 1.4266000107454602e-05
10 - 0.3995178489818163 - 0.14839468615128112 - 0.20675213802303977 - 1.1030000223399838e-05
10 - 0.037660064202048635 - 0.0016450044284321477 - 0.1551056467567279 - 8.114000138448318e-06
10 - 0.28253575936316255 - 0.12661069400352332 - 0.08977004840438602 - 7.136000022001099e-06
100 - 0.2155221519351624 - 0.14824731241981962 - 0.02275644097638585 - 2.2067000372771872e-05
100 - 0.12839995471820959 - 0.042985933480196796 - 0.06436575624056695 - 2.2433000140154036e-05
100 - 0.1892548322602878 - 0.10862254978833408 - 0.003510878698488734 - 2.3702999897068366e-05
100 - 0.1732399867610739 - 0.11968578383874119 - 0.019525724197702626 - 2.2573000023839995e-05
100 - 0.17564790534550132 - 0.07342377288771912 - 0.017117805613275222 - 2.2144000013213372e-05
1000 - 0.21230754286386075 - 0.19786165875421638 - 0.01954183190508421 - 0.00017275499976676656
1000 - 0.20442673907219833 - 0.16774979806326112 - 0.01166102811342179 - 0.00017250999962925562
1000 - 0.19929390476203337 - 0.20650999647108612 - 0.006528193803256838 - 0.00017242700005226652
1000 - 0.19129811587454576 - 0.12305558971069061 - 0.0014675950842307772 - 0.0001858760001596238
1000 - 0.19742027593425915 - 0.13155110817308613 - 0.004654564975482611 - 0.00017884199996842653
10000 - 0.19933494997924456 - 0.18657184303496774 - 0.006569239020468021 - 0.0017337100002805528
10000 - 0.193239012792348 - 0.15223022168403205 - 0.00047330183357147115 - 0.001415972999893711
10000 - 0.19482092755113656 - 0.17848662709014607 - 0.0020552165923600207 - 0.0014393189999282185
10000 - 0.18262704793443213 - 0.11388896473077699 - 0.010138663024344408 - 0.0016521729999112722
10000 - 0.19221610906270903 - 0.1740561670790708 - 0.0005496018960675086 - 0.001697057000001223
100000 - 0.1927146199957345 - 0.15811575299483632 - 5.109096304203864e-05 - 0.012721316999886767
100000 - 0.19155741315935698 - 0.16647080396877284 - 0.0012082977994195554 - 0.011112643999695138
100000 - 0.19374720994213215 - 0.18461957551434705 - 0.0009814989833556165 - 0.01258002700024008
100000 - 0.19477617346833573 - 0.15529032849692997 - 0.002010462509559191 - 0.013916661000166641
100000 - 0.19324298466921166 - 0.17976109896598857 - 0.0004772737104351277 - 0.012464967000141769
500000 - 0.1938145898798372 - 0.19591956814259756 - 0.0010488789210606753 - 0.060333581999657326
500000 - 0.19227216544502818 - 0.15676008955484041 - 0.0004935455137483613 - 0.05547776999992493
500000 - 0.19325683982522116 - 0.16867943354462073 - 0.0004911288664446178 - 0.05538831700005176
500000 - 0.1924551707939155 - 0.16263251964186795 - 0.0003105401648610395 - 0.0552447420000135
500000 - 0.1931943195787952 - 0.1673303362642115 - 0.0004286086200186723 - 0.055439934999867546
1000000 - 0.1933528688523073 - 0.1762334319631645 - 0.0005871578935307542 - 0.11116438399994877
1000000 - 0.19182877414973634 - 0.15924894186699598 - 0.0009369368090401953 - 0.11143568499983303
1000000 - 0.1925417237699609 - 0.1717475742805221 - 0.00022398718881563862 - 0.11051444000031552
1000000 - 0.19369874955393707 - 0.17459240177680974 - 0.0009330385951605291 - 0.11100596300002508
1000000 - 0.19227158059367644 - 0.16134047361498963 - 0.0004941303651000983 - 0.11080622099962056
